# test subtest run checkout repeat value unit host
udpbench_-l1472_-t10_-r_ot32_recv_10.6.12.51 send 1662323025 1662249602 000 3441890000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_recv_10.6.12.51 recv 1662323025 1662249602 001 3272360000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_recv_10.6.12.51 send 1662323025 1662249602 001 3422140000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_recv_10.6.12.51 recv 1662323025 1662249602 002 3019800000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_recv_10.6.12.51 send 1662323025 1662249602 002 3268070000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_recv_10.6.12.51 recv 1662323025 1662249602 003 2638620000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_recv_10.6.12.51 send 1662323025 1662249602 003 3404280000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_recv_10.6.12.51 recv 1662323025 1662249602 004 2947720000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_recv_10.6.12.51 send 1662323025 1662249602 004 3114830000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249600 000 3177200000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249600 000 1245350000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249600 001 3717980000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249600 001 1209520000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249600 002 3161310000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249600 002 1274270000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249600 003 3222690000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249600 003 1252330000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249600 004 3374810000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249600 004 1227090000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249601 000 3279290000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249601 000 1288980000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249601 001 3540030000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249601 001 1274760000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249601 002 3186340000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249601 002 1269050000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249601 003 3450860000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249601 003 1345920000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249601 004 3239520000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249601 004 1288370000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249602 000 3279630000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249602 000 2742560000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249602 001 3449530000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249602 001 3152860000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249602 002 3407090000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249602 002 2848650000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249602 003 3191740000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249602 003 3137700000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249602 004 3518510000 bits/sec ot31
udpbench_-l1472_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249602 004 3361300000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 recv 1662323025 1662249600 000 231394000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 send 1662323025 1662249600 000 238547000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 recv 1662323025 1662249600 001 221367000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 send 1662323025 1662249600 001 244642000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 recv 1662323025 1662249600 002 200803000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 send 1662323025 1662249600 002 212036000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 recv 1662323025 1662249600 003 214414000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 send 1662323025 1662249600 003 254978000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 recv 1662323025 1662249600 004 231859000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 send 1662323025 1662249600 004 240537000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 recv 1662323025 1662249601 000 176444000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 send 1662323025 1662249601 000 248199000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 recv 1662323025 1662249601 001 223366000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 send 1662323025 1662249601 001 230425000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 recv 1662323025 1662249601 002 232769000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 send 1662323025 1662249601 002 239281000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 recv 1662323025 1662249601 003 179471000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 send 1662323025 1662249601 003 250956000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 recv 1662323025 1662249601 004 230033000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 send 1662323025 1662249601 004 235463000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 recv 1662323025 1662249602 000 230704000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 send 1662323025 1662249602 000 257985000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 recv 1662323025 1662249602 001 234483000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 send 1662323025 1662249602 001 247719000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 recv 1662323025 1662249602 002 233899000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 send 1662323025 1662249602 002 239894000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 recv 1662323025 1662249602 003 213876000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 send 1662323025 1662249602 003 252686000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 recv 1662323025 1662249602 004 217581000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_recv_10.6.12.51 send 1662323025 1662249602 004 238879000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249600 000 237142000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249600 000 220877000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249600 001 263756000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249600 001 243317000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249600 002 249272000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249600 002 221375000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249600 003 250540000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249600 003 234925000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249600 004 246965000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249600 004 225199000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249601 000 250970000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249601 000 248966000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249601 001 228130000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249601 001 215508000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249601 002 253172000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249601 002 244752000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249601 003 254903000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249601 003 204714000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249601 004 252488000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249601 004 182285000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249602 000 259940000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249602 000 233158000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249602 001 257167000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249602 001 241003000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249602 002 257756000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249602 002 212381000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249602 003 251575000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249602 003 216548000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 send 1662323025 1662249602 004 254539000 bits/sec ot31
udpbench_-l36_-t10_-r_ot32_send_10.6.12.52 recv 1662323025 1662249602 004 229199000 bits/sec ot31
